<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.21	00:00:00	1.11270	1.11270	1.11226	1.11226	3	0	40
2024.08.21	00:01:00	1.11226	1.11236	1.11166	1.11236	42	0	52
2024.08.21	00:02:00	1.11232	1.11237	1.11232	1.11237	2	0	51
2024.08.21	00:03:00	1.11216	1.11251	1.11212	1.11242	16	0	35
2024.08.21	00:04:00	1.11241	1.11259	1.11240	1.11258	10	0	29
2024.08.21	00:05:00	1.11258	1.11290	1.11252	1.11260	26	0	13
2024.08.21	00:06:00	1.11260	1.11260	1.11260	1.11260	1	0	55
2024.08.21	00:07:00	1.11259	1.11264	1.11259	1.11264	9	0	41
2024.08.21	00:08:00	1.11263	1.11264	1.11261	1.11264	5	0	42
2024.08.21	00:09:00	1.11266	1.11266	1.11248	1.11248	15	0	14
2024.08.21	00:10:00	1.11248	1.11260	1.11248	1.11250	5	0	37
2024.08.21	00:11:00	1.11264	1.11264	1.11249	1.11251	5	0	31
2024.08.21	00:12:00	1.11251	1.11263	1.11248	1.11263	6	0	35
2024.08.21	00:13:00	1.11263	1.11263	1.11257	1.11260	14	0	36
2024.08.21	00:14:00	1.11259	1.11264	1.11239	1.11247	15	0	32
2024.08.21	00:15:00	1.11247	1.11266	1.11247	1.11266	16	0	14
2024.08.21	00:16:00	1.11266	1.11267	1.11257	1.11265	13	0	15
2024.08.21	00:17:00	1.11266	1.11277	1.11253	1.11269	24	0	13
2024.08.21	00:18:00	1.11270	1.11279	1.11268	1.11271	13	0	24
2024.08.21	00:19:00	1.11271	1.11281	1.11271	1.11281	5	0	19
2024.08.21	00:20:00	1.11281	1.11282	1.11277	1.11279	21	0	24
2024.08.21	00:21:00	1.11279	1.11282	1.11278	1.11279	11	0	24
2024.08.21	00:22:00	1.11280	1.11280	1.11273	1.11275	9	0	21
2024.08.21	00:23:00	1.11275	1.11278	1.11275	1.11278	4	0	22
2024.08.21	00:24:00	1.11278	1.11280	1.11277	1.11280	6	0	19
2024.08.21	00:25:00	1.11279	1.11280	1.11278	1.11280	4	0	19
2024.08.21	00:26:00	1.11280	1.11280	1.11276	1.11280	8	0	17
2024.08.21	00:27:00	1.11279	1.11281	1.11276	1.11276	8	0	15
2024.08.21	00:28:00	1.11277	1.11280	1.11275	1.11280	6	0	15
2024.08.21	00:29:00	1.11278	1.11279	1.11278	1.11279	2	0	15
2024.08.21	00:30:00	1.11279	1.11279	1.11279	1.11279	1	0	15
2024.08.21	00:31:00	1.11279	1.11279	1.11278	1.11278	4	0	15
2024.08.21	00:32:00	1.11278	1.11280	1.11278	1.11280	5	0	14
2024.08.21	00:33:00	1.11280	1.11280	1.11276	1.11276	3	0	14
2024.08.21	00:34:00	1.11276	1.11277	1.11276	1.11277	2	0	14
2024.08.21	00:35:00	1.11277	1.11279	1.11277	1.11279	2	0	12
2024.08.21	00:36:00	1.11279	1.11279	1.11277	1.11278	6	0	12
2024.08.21	00:37:00	1.11278	1.11278	1.11276	1.11276	4	0	13
2024.08.21	00:38:00	1.11276	1.11277	1.11275	1.11275	4	0	12
2024.08.21	00:39:00	1.11277	1.11277	1.11277	1.11277	1	0	12
2024.08.21	00:40:00	1.11277	1.11285	1.11277	1.11284	4	0	4
2024.08.21	00:41:00	1.11284	1.11284	1.11277	1.11277	10	0	12
2024.08.21	00:42:00	1.11277	1.11277	1.11276	1.11277	3	0	12
2024.08.21	00:43:00	1.11277	1.11277	1.11277	1.11277	1	0	12
2024.08.21	00:44:00	1.11277	1.11277	1.11277	1.11277	1	0	12
2024.08.21	00:45:00	1.11275	1.11278	1.11275	1.11278	4	0	11
2024.08.21	00:46:00	1.11278	1.11278	1.11278	1.11278	1	0	11
2024.08.21	00:47:00	1.11278	1.11280	1.11274	1.11278	12	0	9
2024.08.21	00:48:00	1.11278	1.11280	1.11277	1.11279	7	0	9
2024.08.21	00:49:00	1.11280	1.11280	1.11279	1.11279	4	0	9
2024.08.21	00:50:00	1.11279	1.11279	1.11279	1.11279	1	0	10
2024.08.21	00:51:00	1.11279	1.11283	1.11279	1.11282	7	0	6
2024.08.21	00:52:00	1.11282	1.11285	1.11282	1.11282	6	0	4
2024.08.21	00:53:00	1.11282	1.11282	1.11281	1.11282	5	0	7
2024.08.21	00:54:00	1.11282	1.11282	1.11282	1.11282	1	0	7
2024.08.21	00:55:00	1.11282	1.11288	1.11282	1.11288	3	0	6
2024.08.21	00:56:00	1.11289	1.11289	1.11282	1.11283	5	0	12
2024.08.21	00:57:00	1.11283	1.11285	1.11282	1.11283	6	0	9
2024.08.21	00:58:00	1.11283	1.11283	1.11282	1.11283	3	0	11
2024.08.21	00:59:00	1.11283	1.11283	1.11282	1.11283	3	0	11
2024.08.21	01:00:00	1.11283	1.11283	1.11267	1.11283	32	0	4
2024.08.21	01:01:00	1.11284	1.11290	1.11276	1.11277	14	0	4
2024.08.21	01:02:00	1.11277	1.11277	1.11271	1.11272	7	0	5
2024.08.21	01:03:00	1.11270	1.11270	1.11267	1.11267	4	0	7
